0 11
0 17
0 47
1 9
1 50
1 53
2 7
2 47
2 63
3 18
3 34
3 65
4 26
4 29
4 62
5 22
5 57
5 66
6 8
6 16
6 18
7 10
7 11
8 13
8 15
9 33
9 60
10 44
10 48
11 43
12 24
12 40
12 68
13 23
13 59
14 24
14 25
14 33
14 51
15 29
15 36
16 34
16 36
17 35
17 52
18 19
19 21
19 50
20 30
20 45
20 46
21 25
21 53
22 37
22 39
23 37
23 66
24 32
25 68
26 57
26 61
27 34
27 60
27 62
28 42
28 67
28 69
29 59
30 55
30 64
31 32
31 40
31 64
32 33
33 51
35 49
35 69
36 62
37 63
38 45
38 55
38 68
39 44
39 58
40 55
41 42
41 45
41 54
42 46
43 48
43 52
44 63
46 56
47 49
48 58
49 67
50 65
51 53
52 54
54 69
56 64
56 67
57 58
59 61
60 65
61 66
